timestamp,type,execution_ms,success,command
2026-05-09 17:22:50,ALL,13,false,"all"
2026-05-09 17:23:09,INSERT,6,false,"insert,1,abdul,abdulqadir0210423@gmail.com"
2026-05-09 17:23:09,ALL,8,false,"all"
2026-05-09 17:28:02,ALL,3,false,"all"
2026-05-09 17:28:22,INSERT,7,false,"insert,2,Ali ,ali@gmail.com"
2026-05-09 17:28:23,ALL,10,false,"all"
2026-05-09 21:40:44,ALL,11,false,"all"
2026-05-09 21:41:12,INSERT,8,false,"insert,1,abdul,abdulqadir@gmail.com"
2026-05-09 21:41:13,ALL,11,false,"all"
2026-05-09 21:42:55,ALL,5,false,"all"
2026-05-09 21:43:26,INSERT,10,false,"insert,2,ali,ali@gmail.com"
2026-05-09 21:43:27,ALL,8,false,"all"
2026-05-09 21:45:09,ALL,3,false,"all"
2026-05-09 21:45:57,ALL,7,false,"all"
2026-05-09 21:46:08,INSERT,7,false,"insert,2,ali,abdulqadir0210423@gmail.com"
2026-05-09 21:46:09,ALL,8,false,"all"
2026-05-09 21:50:07,ALL,524,true,"all"
2026-05-09 21:50:20,INSERT,13,true,"insert,1,ali,ali@gmail.com"
2026-05-09 21:50:21,ALL,22,true,"all"
2026-05-12 21:40:40,ALL,15,true,"all"
2026-05-12 21:41:56,ALL,5,true,"all"
2026-05-12 21:43:53,ALL,7,true,"all"
2026-05-12 21:45:48,ALL,7,true,"all"
2026-07-23 08:46:39,ALL,16441,true,"all"
2026-07-24 06:29:02,ALL,10,false,"all"
2026-07-26 20:52:25,ALL,4,false,"all"
2026-07-26 20:52:40,INSERT,6,false,"insert,1,Abdul,abdul@test.com"
2026-07-26 20:52:40,INSERT,4,false,"insert,2,Ali,ali@test.com"
2026-07-26 20:52:40,INSERT,5,false,"insert,3,Sara,sara@test.com"
2026-07-26 20:53:35,ALL,9,false,"all"
2026-07-26 20:54:56,INSERT,3,false,"insert,1,Abdul,abdul@test.com"
2026-07-26 20:54:56,INSERT,2,false,"insert,2,Ali,ali@test.com"
2026-07-26 20:54:56,INSERT,3,false,"insert,3,Sara,sara@test.com"
2026-07-26 21:00:06,ALL,9,false,"all"
2026-07-26 21:00:07,ALL,16,false,"all"
2026-07-26 21:00:07,ALL,3,false,"all"
2026-07-26 21:00:07,ALL,13,false,"all"
2026-07-26 21:00:07,ALL,14,false,"all"
2026-07-26 21:00:57,ALL,8,false,"all"
2026-07-27 06:39:57,ALL,3,false,"all"
2026-07-27 06:40:11,ALL,6,false,"all"
2026-07-27 06:40:30,ALL,4,false,"all"
2026-07-27 06:41:37,ALL,9,false,"all"
2026-07-27 06:41:51,ALL,12,false,"all"
2026-07-27 06:42:58,INSERT,6,false,"insert,78286,92,6"
2026-07-27 06:42:58,INSERT,4,false,"insert,78287,51,46"
2026-07-27 06:42:58,INSERT,3,false,"insert,78288,230,"
2026-07-27 06:42:58,INSERT,3,false,"insert,78289,139,25"
2026-07-27 06:42:58,INSERT,3,false,"insert,78290,8,8"
2026-07-27 06:42:58,INSERT,3,false,"insert,78291,215,49"
2026-07-27 06:42:58,INSERT,3,false,"insert,78292,189,13"
2026-07-27 06:42:58,INSERT,3,false,"insert,78293,115,50"
2026-07-27 06:42:58,INSERT,3,false,"insert,78294,218,35"
2026-07-27 06:42:58,INSERT,3,false,"insert,78295,159,38"
2026-07-27 06:42:58,INSERT,3,false,"insert,78296,119,60"
2026-07-27 06:42:58,INSERT,2,false,"insert,78297,248,18"
2026-07-27 06:42:58,INSERT,3,false,"insert,78298,109,10"
2026-07-27 06:42:58,INSERT,2,false,"insert,78299,176,14"
2026-07-27 06:42:58,INSERT,2,false,"insert,78300,7,50"
2026-07-27 06:42:58,INSERT,2,false,"insert,78301,112,35"
2026-07-27 06:42:58,INSERT,3,false,"insert,78302,27,43"
2026-07-27 06:42:58,INSERT,3,false,"insert,78303,241,17"
2026-07-27 06:42:58,INSERT,2,false,"insert,78304,255,3"
2026-07-27 06:42:58,INSERT,3,false,"insert,78305,136,60"
2026-07-27 06:42:58,INSERT,2,false,"insert,78306,86,38"
2026-07-27 06:42:58,INSERT,2,false,"insert,78307,45,41"
2026-07-27 06:42:58,INSERT,3,false,"insert,78308,243,49"
2026-07-27 06:42:58,INSERT,2,false,"insert,78309,270,12"
2026-07-27 06:42:58,INSERT,3,false,"insert,78310,269,74"
2026-07-27 06:42:58,INSERT,3,false,"insert,78311,222,21"
2026-07-27 06:42:58,INSERT,3,false,"insert,78312,158,27"
2026-07-27 06:42:58,INSERT,3,false,"insert,78313,129,41"
2026-07-27 06:42:58,INSERT,3,false,"insert,78314,205,42"
2026-07-27 06:42:58,INSERT,2,false,"insert,78315,182,60"
2026-07-27 06:42:58,INSERT,2,false,"insert,78316,277,30"
2026-07-27 06:42:58,INSERT,2,false,"insert,78317,130,50"
2026-07-27 06:42:58,INSERT,2,false,"insert,78318,224,50"
2026-07-27 06:42:58,INSERT,3,false,"insert,78319,175,22"
2026-07-27 06:42:58,INSERT,2,false,"insert,78320,100,40"
2026-07-27 06:42:58,INSERT,3,false,"insert,78321,44,35"
2026-07-27 06:42:58,INSERT,3,false,"insert,78322,5,19"
2026-07-27 06:42:58,INSERT,2,false,"insert,78323,280,3"
2026-07-27 06:42:58,INSERT,3,false,"insert,78324,166,34"
2026-07-27 06:42:58,INSERT,2,false,"insert,78325,278,21"
2026-07-27 06:42:58,INSERT,3,false,"insert,78326,84,73"
2026-07-27 06:42:58,INSERT,2,false,"insert,78327,285,65"
2026-07-27 06:42:58,INSERT,2,false,"insert,78328,156,30"
